"lowtag","year_cap","cwdstatus1","cwdstatus2","cwdstatus3","cwdstatus4","postcwd","ante_cap","needsRTQ"
5006,2017,"Negative","","Positive","","Positive","Negative","No"
5066,2017,"Negative","","","","0","Negative","No"
5090,2017,"Negative","","","","0","Negative","No"
5094,2017,"Not tested","","","","0","Not tested","Yes"
5919,2017,"Not tested","","","","0","Not tested","Yes"
5921,2017,"Not tested","","","","0","Not tested","Yes"
5923,2017,"Not tested","","","","Not tested","Not tested","Yes"
5088,2017,"Negative","","","","Negative","Negative","No"
5591,2017,"Not tested","","","","0","Not tested","Yes"
5892,2017,"Negative","","","","Positive","Negative","No"
5716,2017,"Negative","","","","Negative","Negative","No"
5084,2017,"Negative","","","","Not tested","Negative","No"
5012,2017,"Negative","","","","Positive","Negative","No"
5086,2017,"Negative","","","","Not tested","Negative","No"
5738,2017,"Negative","","","","Negative","Negative","No"
5052,2017,"Negative","","","","0","Negative","No"
5098,2017,"Negative","","","","Positive","Negative","No"
5746,2017,"Negative","","","Negative","0","Negative","No"
7245,2017,"Negative","","","","Positive","Negative","No"
5712,2017,"Negative","","","","Negative","Negative","No"
5022,2017,"Not tested","","","","Negative","Not tested","No"
7210,2017,"Negative","","","","Negative","Negative","No"
7227,2017,"Negative","","","","Not tested","Negative","No"
7231,2017,"Negative","","","","Negative","Negative","No"
5054,2017,"Negative","","","","Positive","Negative","No"
5718,2017,"Positive","","","","Positive","Positive","No"
5744,2017,"Not tested","","","Negative","0","Not tested","No"
5070,2017,"Not tested","","","","0","Not tested","Yes"
5050,2017,"Positive","","","","Positive","Positive","No"
5721,2017,"Positive","","","","Positive","Positive","No"
5726,2017,"Negative","","Negative","Negative","0","Negative","No"
7235,2017,"Negative","","","","Positive","Negative","No"
5720,2017,"Negative","","","Negative","Positive","Negative","No"
5736,2017,"Negative","","","","Not tested","Negative","No"
5700,2017,"Negative","","","","0","Negative","No"
5710,2017,"Negative","","","","Not tested","Negative","No"
7204,2017,"Negative","","","","Negative","Negative","No"
5000,2017,"Negative","","","","0","Negative","No"
7221,2017,"ISF","","","","Negative","ISF","No"
5092,2017,"Negative","","","","Positive","Negative","No"
7200,2017,"Not tested","","","","0","Not tested","Yes"
7225,2017,"Not tested","","","","Positive","Not tested","No"
5732,2017,"Negative","","","","0","Negative","No"
5742,2017,"Negative","","","","0","Negative","No"
5060,2017,"Negative","Negative","","","Negative","Negative","No"
7202,2017,"Positive","","","","Positive","Positive","No"
7214,2017,"Not tested","","","","0","Not tested","Yes"
6801,2017,"Negative","","","","0","Negative","No"
6805,2017,"Negative","Negative","","Negative","Negative","Negative","No"
6817,2017,"Negative","","","Negative","0","Negative","No"
6819,2017,"Negative","","","","Negative","Negative","No"
