"lowtag","year_cap","cwdstatus1","cwdstatus2","cwdstatus3","cwdstatus4","postcwd","ante_cap","needsRTQ"
5094,2017,"Not tested","","","","0","Not tested","Yes"
5919,2017,"Not tested","","","","0","Not tested","Yes"
5921,2017,"Not tested","","","","0","Not tested","Yes"
5923,2017,"Not tested","","","","Not tested","Not tested","Yes"
5591,2017,"Not tested","","","","0","Not tested","Yes"
5070,2017,"Not tested","","","","0","Not tested","Yes"
7200,2017,"Not tested","","","","0","Not tested","Yes"
7214,2017,"Not tested","","","","0","Not tested","Yes"
6800,2017,"Not tested","","","","Not tested","Not tested","Yes"
6823,2017,"ISF","","","","Not tested","ISF","Yes"
5734,2017,"ISF","","","","0","ISF","Yes"
5740,2017,"ISF","","","","0","ISF","Yes"
5072,2017,"ISF","","","","0","ISF","Yes"
5078,2017,"ISF","","","","0","ISF","Yes"
5002,2017,"Not tested","","","","Not tested","Not tested","Yes"
7208,2017,"Not tested","","","","Not tested","Not tested","Yes"
6041,2017,"ISF","","","","0","ISF","Yes"
6019,2018,"","ISF","","","0","ISF","Yes"
6917,2018,"","ISF","","","0","ISF","Yes"
5629,2018,"","ISF","","","0","ISF","Yes"
5911,2018,"","ISF","","","Not tested","ISF","Yes"
7104,2019,"","","Not Tested","","0","Not Tested","Yes"
6614,2019,"","","ISF","","0","ISF","Yes"
5103,2019,"","","Not Tested","","0","Not Tested","Yes"
7154,2019,"0","0","0","0","0","0","Yes"
7151,2019,"0","0","0","0","0","0","Yes"
6679,2020,"","","","ISF","0","ISF","Yes"
7908,2020,"","","","Not Tested","0","Not Tested","Yes"
7916,2020,"","","","ISF","0","ISF","Yes"
8157,2020,"","","","ISF","0","ISF","Yes"
8102,2020,"0","0","0","0","Pending","0","Yes"
8110,2020,"","","","ISF","0","ISF","Yes"
